,i_max,width,treatment,mouse,vessel_type,vessel,region_in_vessel,profile,repetition,y_bin_width,depth,rbc_flow,source
47,270.81413821472535,0.662915356861939,Saline,20230512,pa,2.0,1,3,2,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep2_noterecovery.nc
48,271.2825174825163,0.7349435700159965,Saline,20230512,pa,2.0,1,4,2,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep2_noterecovery.nc
49,267.72130810365985,0.73323737385366,Saline,20230512,pa,2.0,1,5,2,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep2_noterecovery.nc
50,246.47640065816427,0.7268760449782956,Saline,20230512,pa,2.0,1,6,2,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep2_noterecovery.nc
51,238.26308515014287,0.8099836955460162,Saline,20230512,pa,2.0,1,7,2,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep2_noterecovery.nc
52,292.253421088714,0.5877965040781064,Saline,20230512,pa,2.0,1,0,3,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep3_noterecovery.nc
53,325.8181489099122,0.6168506404775922,Saline,20230512,pa,2.0,1,1,3,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep3_noterecovery.nc
54,288.3944549568066,0.6919388197365866,Saline,20230512,pa,2.0,1,2,3,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep3_noterecovery.nc
55,246.929609214314,0.8679237988626358,Saline,20230512,pa,2.0,1,3,3,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep3_noterecovery.nc
56,361.1080995475097,0.696276471620628,Saline,20230512,pa,2.0,1,4,3,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep3_noterecovery.nc
57,359.18251748251583,0.7633830764361473,Saline,20230512,pa,2.0,1,5,3,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep3_noterecovery.nc
58,432.10737967914247,0.7910083315202439,Saline,20230512,pa,2.0,1,6,3,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep3_noterecovery.nc
59,448.6956355409277,0.7111211395675419,Saline,20230512,pa,2.0,1,7,3,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep3_noterecovery.nc
60,116.42427898898438,0.7302561146180455,Saline,20230513,pa,1.0,1,0,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
61,126.32854792266504,0.6956742465339332,Saline,20230513,pa,1.0,1,1,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
62,140.87471822295288,0.6157804709575547,Saline,20230513,pa,1.0,1,2,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
63,151.1364047716982,0.5820399805498262,Saline,20230513,pa,1.0,1,3,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
64,133.87080213903687,0.5622938375996238,Saline,20230513,pa,1.0,1,4,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
65,128.33957219251283,0.6826134830671879,Saline,20230513,pa,1.0,1,5,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
66,126.35409296585716,0.5471783924779157,Saline,20230513,pa,1.0,1,6,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
67,123.65641299876545,0.6366109750861,Saline,20230513,pa,1.0,1,7,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
68,114.95542300836368,0.7158262765156884,Saline,20230513,pa,1.0,2,0,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi2_rep1_noterecovery.nc
69,134.1054997943227,0.7850752234345482,Saline,20230513,pa,1.0,2,1,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi2_rep1_noterecovery.nc
70,124.4517030028789,0.7318219517464897,Saline,20230513,pa,1.0,2,2,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi2_rep1_noterecovery.nc
71,109.5029411764701,0.837794792172005,Saline,20230513,pa,1.0,2,3,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi2_rep1_noterecovery.nc
72,132.27084327437206,0.776780973372615,Saline,20230513,pa,1.0,2,4,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi2_rep1_noterecovery.nc
73,125.6874496092138,0.6280961120836288,Saline,20230513,pa,1.0,2,5,1,1.0,0.0,yes,../../Glycocalyx_frap/20230513_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc1_roi2_rep1_noterecovery.nc
