,mouse,image,profile,vessel_type,vessel,region_in_vessel,repetition,i_max,fwhm,source_filename,treatment
185,20230510,3.0,15,pa,1.0,4,1,244.99583435058597,0.5968386046949845,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
186,20230510,3.0,16,pa,1.0,4,1,242.96665954589844,0.5947498723397352,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
187,20230510,4.0,0,pa,1.0,5,1,272.2916564941406,0.7621912375714793,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
188,20230510,4.0,1,pa,1.0,5,1,260.73748779296875,0.6222760790251814,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
189,20230510,4.0,2,pa,1.0,5,1,271.4291687011719,0.650211844318704,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
190,20230510,4.0,3,pa,1.0,5,1,270.8083190917969,0.7106973145238888,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
191,20230510,4.0,4,pa,1.0,5,1,353.9583435058594,0.5518616097788771,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
192,20230510,4.0,5,pa,1.0,5,1,287.1708374023437,0.5640260087425711,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
193,20230510,4.0,6,pa,1.0,5,1,305.9041748046875,0.5442126315728697,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
194,20230510,4.0,7,pa,1.0,5,1,286.8541564941406,0.5164806264955467,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
195,20230510,4.0,8,pa,1.0,5,1,305.4916687011719,0.4793032232081857,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
196,20230510,4.0,9,pa,1.0,5,1,288.0708312988281,0.5709840615066986,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
197,20230510,4.0,10,pa,1.0,5,1,268.5333557128906,0.4845199568893897,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
198,20230510,4.0,11,pa,1.0,5,1,327.48748779296875,0.5127225765042306,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
199,20230510,4.0,12,pa,1.0,5,1,322.3041687011719,0.5455864339497534,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
200,20230510,4.0,13,pa,1.0,5,1,313.13751220703125,0.7141987325280122,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
201,20230510,4.0,14,pa,1.0,5,1,273.98748779296875,0.7007057607743812,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
202,20230510,4.0,15,pa,1.0,5,1,273.8000183105469,0.6152226579951322,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
203,20230510,4.0,16,pa,1.0,5,1,286.70416259765625,0.5846356906065832,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi5_rep1_PRE.nc,Enzyme
204,20230510,5.0,0,pa,1.0,6,1,179.5208282470703,0.62118997619745,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
205,20230510,5.0,1,pa,1.0,6,1,169.8916778564453,0.8015971269378085,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
206,20230510,5.0,2,pa,1.0,6,1,196.46250915527344,0.7377744360939913,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
207,20230510,5.0,3,pa,1.0,6,1,194.24166870117188,0.6358389469699729,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
208,20230510,5.0,4,pa,1.0,6,1,200.1041717529297,0.6670143838274682,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
209,20230510,5.0,5,pa,1.0,6,1,179.26251220703125,0.7032838954747461,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
210,20230510,5.0,6,pa,1.0,6,1,191.8874969482422,0.6093270951570637,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
211,20230510,5.0,7,pa,1.0,6,1,180.6374969482422,0.6944831078980918,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
212,20230510,5.0,8,pa,1.0,6,1,205.77084350585935,0.5575555347702827,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
213,20230510,5.0,9,pa,1.0,6,1,196.1125030517578,0.5759127805542967,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
214,20230510,5.0,10,pa,1.0,6,1,170.96250915527344,0.6653699914922414,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
215,20230510,5.0,11,pa,1.0,6,1,167.7375030517578,0.5742560593285164,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
216,20230510,5.0,12,pa,1.0,6,1,186.97499084472656,0.5287893854988878,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
217,20230510,5.0,13,pa,1.0,6,1,210.6875,0.5130508060122905,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
218,20230510,5.0,14,pa,1.0,6,1,217.35415649414065,0.5422947038090966,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
219,20230510,5.0,15,pa,1.0,6,1,206.6916656494141,0.5642664258071768,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
220,20230510,5.0,16,pa,1.0,6,1,199.9708404541016,0.7004147002100918,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi6_rep1_PRE.nc,Enzyme
221,20230510,6.0,0,pea,1.0,1,1,154.57916259765625,0.6498074439872153,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
222,20230510,6.0,1,pea,1.0,1,1,220.73333740234372,0.4763944896119048,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
223,20230510,6.0,2,pea,1.0,1,1,177.4833221435547,0.5994761265573201,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
224,20230510,6.0,3,pea,1.0,1,1,141.19583129882812,0.6763227217945176,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
225,20230510,6.0,4,pea,1.0,1,1,149.94166564941406,0.6142178517515318,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
226,20230510,6.0,5,pea,1.0,1,1,146.2208251953125,0.5258406449887151,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
227,20230510,6.0,6,pea,1.0,1,1,155.32916259765625,0.5733501176205508,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
228,20230510,6.0,7,pea,1.0,1,1,158.02500915527344,0.7961102067019299,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
229,20230510,6.0,8,pea,1.0,1,1,150.03749084472656,0.6121030995958898,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
230,20230510,6.0,9,pea,1.0,1,1,150.32916259765625,0.5578972769455306,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
231,20230510,6.0,10,pea,1.0,1,1,149.9375,0.5612342221890291,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
232,20230510,6.0,11,pea,1.0,1,1,141.30833435058594,0.574886361474567,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
233,20230510,6.0,12,pea,1.0,1,1,138.08750915527344,0.6592850699113618,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
234,20230510,6.0,13,pea,1.0,1,1,128.9083251953125,0.6911948492478013,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
235,20230510,6.0,14,pea,1.0,1,1,145.08334350585938,0.6357514127002075,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
236,20230510,6.0,15,pea,1.0,1,1,149.87916564941406,0.6480780355954177,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
237,20230510,6.0,16,pea,1.0,1,1,143.6333465576172,0.6056521874474475,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi1_rep1_PRE.nc,Enzyme
238,20230510,7.0,0,pea,1.0,2,1,277.75,0.7796451857034453,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
239,20230510,7.0,1,pea,1.0,2,1,273.1041564941406,0.7525817967847985,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
240,20230510,7.0,2,pea,1.0,2,1,230.7083282470703,0.771044213129682,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppea_loc1_roi2_rep1_PRE.nc,Enzyme
