lectin,mouse,vessel_type,contour_in_vessel_type,ln_y_norm_mean,ln_y_norm_mean_std,size
wga,20230216,pv,0,-1.5898071977563053,-1.4713383042767336,177
wga,20230216,pv,1,-1.6173445969794336,-1.5109833923754956,73
wga,20230216,pv,2,-1.3369941821189244,-1.1073680470913827,52
wga,20230216,pv,3,-1.7041449277748184,-1.635948235042791,20
wga,20230216,pv,4,-1.7137348745674839,-1.6497547053770825,791
wga,20230216,pv,5,-1.7511726234832727,-1.7036531451665309,200
wga,20230216,pv,6,-1.5882082043802412,-1.4690362628693463,59
wga,20230216,pv,7,-1.9471905630706865,-1.985856574071101,197
wga,20230216,pv,8,-1.6686258830451162,-1.584812118444306,124
wga,20230216,pv,9,-1.785352633752745,-1.7528614784361345,725
wga,20230216,pv,10,-1.3118715920996182,-1.0711995154695597,447
wga,20230216,pv,11,-1.5274526989635488,-1.3815676771393406,39
wga,20230216,pv,12,-1.6153443713449216,-1.5081037042518972,230
wga,20230216,pv,13,-1.3572988235129864,-1.136600266530801,262
wga,20230216,pv,14,-1.6347906099931633,-1.5361000970176886,49
wga,20230216,pv,15,-1.7965519248501867,-1.7689848922198461,30
wga,20230512,bp_a,0,0.16774491099037314,1.058977199552884,280
wga,20230512,bp_a,1,0.22675502198554887,1.1439329729781607,137
wga,20230512,bp_a,2,0.16291194147377552,1.0520192620689688,268
wga,20230512,bp_a,3,-0.21809417089402405,0.5034917570349507,116
wga,20230512,bp_a,4,0.6858633310231765,1.8049027766691115,152
wga,20230512,bp_a,5,0.5688386249243019,1.6364244557707088,24
wga,20230512,bp_a,6,-0.2113446737660917,0.5132088841351193,110
wga,20230512,bp_a,7,-0.2221639181290643,0.49763261665769415,204
wga,20230512,bp_a,8,0.14119207532630595,1.020749569534369,199
wga,20230512,bp_a,9,0.04107348317461188,0.8766106705041273,83
wga,20230512,bp_a,10,1.1320967527000463,2.447336841398549,70
wga,20230512,bp_a,11,0.6978653099800052,1.8221818054273293,216
wga,20230512,bp_a,12,-0.056939699917019686,0.7355028902441726,343
wga,20230512,bp_a,13,-0.09793622118300599,0.6764809512381199,279
wga,20230512,bp_a,14,0.2093528094537242,1.1188793270856277,171
wga,20230512,bp_a,15,-0.006216391564491777,0.808528306043341,158
wga,20230512,pa,0,0.017113430690341068,0.8421158228283137,222
wga,20230512,pa,1,0.09077264057793706,0.9481616349842522,44
wga,20230512,pa,2,-0.14656381537784938,0.6064726966362747,104
wga,20230512,pa,3,-0.23868425583617012,0.4738485897598516,71
wga,20230512,pa,4,0.014156699110745925,0.8378590706561988,221
wga,20230512,pa,5,0.07211712073205669,0.9213036255613088,33
wga,20230512,pa,6,0.9410700344012624,2.1723191821487235,76
wga,20230512,pa,7,0.2448144671279117,1.1699328245938645,852
wga,20230512,pa,8,-0.16161277428645882,0.5848069867813883,19
wga,20230512,pa,9,-0.2299031280243325,0.4864906182566606,147
wga,20230512,pa,10,-0.1583553188492616,0.5894966855702635,548
wga,20230512,pa,11,0.04775366383806143,0.8862280039629701,314
wga,20230512,pa,12,0.11557526214358904,0.9838695138976925,16
wga,20230512,pa,13,-0.20296659654962532,0.5252706480894317,484
wga,20230512,pa,14,0.14845295387846655,1.0312029230824793,39
wga,20230512,pa,15,0.23107399249833235,1.1501509155328609,774
wga,20230512,pa,16,0.4019084253723919,1.3960981121695648,77
wga,20230512,pa,17,-0.07489531799544243,0.7096525165462484,93
wga,20230512,pa,18,0.2723701879043396,1.2096042898965442,86
wga,20230512,pea,0,-0.37419796217111384,0.27875199466359546,212
wga,20230512,pea,1,-0.23484146006748682,0.4793809922776262,208
wga,20230512,pea,2,-0.17490206282483245,0.565674642052508,450
wga,20230512,pea,3,-0.3989982221954719,0.24304751561780022,399
wga,20230512,pea,4,0.1628517745702904,1.0519326408826335,34
wga,20230512,pea,5,0.3844745314926927,1.3709988552221388,46
wga,20230512,pea,6,0.05957250952792916,0.9032433791189123,28
wga,20260330,av,0,-1.6059474602402812,-1.4945751438536876,192
wga,20260330,av,1,-1.3947005130196506,-1.1904467922509523,41
wga,20260330,av,2,-1.4857547779453883,-1.321535945787174,249
wga,20260330,av,3,-1.5315367006168004,-1.3874473393407971,345
wga,20260330,av,4,-1.8852589061634972,-1.8966947046333487,75
wga,20260330,av,5,-1.8000061223649204,-1.7739578369657367,225
wga,20260330,av,10,-0.9022644534385446,-0.48149563797116157,379
wga,20260330,av,11,-1.212818500244739,-0.9285945976549806,88
wga,20260330,av,15,-1.6812144121807049,-1.602935592726332,95
wga,20260330,bp_a,1,0.19009724275946896,1.091157441231419,195
wga,20260330,bp_a,3,-0.04327753648087243,0.7551720561177178,415
wga,20260330,bp_a,7,0.1253617215265128,0.9979588998003781,163
wga,20260330,bp_a,9,0.3570400047339608,1.331501870721719,87
wga,20260330,bp_a,13,0.1230326016553326,0.9946057086824615,274
wga,20260330,bp_a,14,0.2150143471916903,1.1270301390260529,127
wga,20260330,bp_a,20,0.31748519460126307,1.2745555367656953,84
wga,20260330,bp_a,26,-0.12210630043030103,0.6416837318874895,425
