"",i_max,width,treatment,mouse,vessel_type,vessel,region_in_vessel,profile,repetition,y_bin_width,depth,rbc_flow,source,ln_i_max,ln_width,ln_i_max_stnd
1572,72.98921203613281,0.5922571160998391,E,E-20230523,c,E-20230523-2,1,5,1,1.4000000000000004,18.2,no,../20230523_mouseb6_vtypc_loc2_roi1_rep1_notedepth-18-2_PRE.nc,4.290311649900855,-0.5238144206505648,-1.4452974666012728
1573,85.74779510498047,0.526986133804968,E,E-20230523,c,E-20230523-2,1,6,1,0.6999999999999993,18.2,no,../20230523_mouseb6_vtypc_loc2_roi1_rep1_notedepth-18-2_PRE.nc,4.451410372654011,-0.6405810423524557,-1.1720162061551795
1574,86.02790832519531,0.5053737870255066,E,E-20230523,c,E-20230523-3,1,0,1,0.5000000000000002,30.9,yes,../20230523_mouseb6_vtypc_loc3_roi1_rep1_notedepth-30-9_PRE.nc,4.454671759019019,-0.6824569511714846,-1.1664837242000206
1575,85.58431243896484,0.511184507399264,E,E-20230523,c,E-20230523-3,1,1,1,0.6000000000000001,30.9,yes,../20230523_mouseb6_vtypc_loc3_roi1_rep1_notedepth-30-9_PRE.nc,4.449502000452506,-0.6710246827175262,-1.175253490422334
1576,50.9164924621582,0.3925042299011281,E,E-20230523,c,E-20230523-3,1,2,1,0.9000000000000001,30.9,yes,../20230523_mouseb6_vtypc_loc3_roi1_rep1_notedepth-30-9_PRE.nc,3.9301868880126003,-0.9352079649995827,-2.056198330151064
1372,67.91753387451172,0.6242360361018502,E,E-20230510,c,E-20230510-6,1,1,1,0.5499999999999998,85.2,yes,../20230510_mouseb6_vtypc_loc6_roi1_rep1_notedepth85-2_PRE.nc,4.21829423207581,-0.4712267191523817,-1.5674648580054704
1371,79.416259765625,0.559278003954498,E,E-20230510,c,E-20230510-6,1,0,1,1.0500000000000005,85.2,yes,../20230510_mouseb6_vtypc_loc6_roi1_rep1_notedepth85-2_PRE.nc,4.374703130230306,-0.5811086057404011,-1.3021392234991112
1370,92.85499572753906,0.4993835793290877,E,E-20230510,c,E-20230510-3,1,3,1,1.7999999999999998,52.6,no,../20230510_mouseb6_vtypc_loc3_roi1_rep1_notedepth52-6_PRE.nc,4.531039090632835,-0.6943807824758326,-1.0369373176012149
1369,76.93012237548828,0.5926367931083654,E,E-20230510,c,E-20230510-3,1,2,1,1.2000000000000002,52.6,no,../20230510_mouseb6_vtypc_loc3_roi1_rep1_notedepth52-6_PRE.nc,4.342897508207759,-0.5231735581757555,-1.3560929751307222
1368,112.0355453491211,0.5175969567234606,E,E-20230510,c,E-20230510-3,1,1,1,1.3999999999999997,52.6,no,../20230510_mouseb6_vtypc_loc3_roi1_rep1_notedepth52-6_PRE.nc,4.718816190132728,-0.6585584154041905,-0.7183999539445761
1367,97.30670928955078,0.6048198221835026,E,E-20230510,c,E-20230510-3,1,0,1,1.2000000000000002,52.6,no,../20230510_mouseb6_vtypc_loc3_roi1_rep1_notedepth52-6_PRE.nc,4.577867941486337,-0.5028246798795851,-0.9574987772591163
1337,52.95089340209961,0.4130197946575222,E,E-20230504,c,E-20230504-6,1,0,1,1.3000000000000007,79.6,yes,../20230504_mouseb6_vtypc_loc6_roi1_rep1_notedepth79.6_PRE.nc,3.9693649444659744,-0.8842597582168216,-1.989738283377065
1336,75.05278778076172,0.4779944898015422,E,E-20230504,c,E-20230504-5,1,5,1,4.0,17.6,no,../20230504_mouseb6_vtypc_loc5_roi1_rep1_notedepth17.6_PRE.nc,4.31819170303598,-0.7381560741689609,-1.3980028888922647
1335,67.98699188232422,0.4974848227088948,E,E-20230504,c,E-20230504-5,1,4,1,3.0,17.6,no,../20230504_mouseb6_vtypc_loc5_roi1_rep1_notedepth17.6_PRE.nc,4.219316391028549,-0.6981902299666405,-1.5657309095159548
1334,61.15666961669922,0.5212227711968218,E,E-20230504,c,E-20230504-5,1,3,1,3.0,17.6,no,../20230504_mouseb6_vtypc_loc5_roi1_rep1_notedepth17.6_PRE.nc,4.1134389259598185,-0.6515777447456447,-1.745337095166195
1333,73.583984375,0.4898076598089549,E,E-20230504,c,E-20230504-5,1,2,1,4.0,17.6,no,../20230504_mouseb6_vtypc_loc5_roi1_rep1_notedepth17.6_PRE.nc,4.298427398455188,-0.7137424959400578,-1.4315302438915676
1332,64.89103698730469,0.5404339582150435,E,E-20230504,c,E-20230504-5,1,1,1,3.0,17.6,no,../20230504_mouseb6_vtypc_loc5_roi1_rep1_notedepth17.6_PRE.nc,4.172709509200482,-0.615382835834403,-1.6447929107147619
1331,71.29525756835938,0.5672404366455357,E,E-20230504,c,E-20230504-5,1,0,1,3.0,17.6,no,../20230504_mouseb6_vtypc_loc5_roi1_rep1_notedepth17.6_PRE.nc,4.266829811440361,-0.566972014617171,-1.4851310934755722
1661,67.90123748779297,0.5371786716027742,E,E-20230527,c,E-20230527-2,1,2,1,1.1,79.6,yes,../20230527_mouseb6_vtypc_loc2_roi1_rep1_notedepth-79-6_PRE.nc,4.218054259550165,-0.6214245180200176,-1.5678719375475056
1660,60.92021560668945,0.5912082020856531,E,E-20230527,c,E-20230527-2,1,1,1,0.8,79.6,yes,../20230527_mouseb6_vtypc_loc2_roi1_rep1_notedepth-79-6_PRE.nc,4.109565067198135,-0.5255870358218303,-1.7519085501541103
1659,89.62373352050781,0.5534512349160465,E,E-20230527,c,E-20230527-2,1,0,1,0.9,79.6,yes,../20230527_mouseb6_vtypc_loc2_roi1_rep1_notedepth-79-6_PRE.nc,4.495620167946948,-0.5915816338474618,-1.097020524158186
