"",mouse,treatment,vessel,roi,rep,alpha,c0,cr,k1,k2,r1,r2,alpha_std,c0_std,cr_std,k1_std,k2_std,r1_std,r2_std,I_plasma,I_plasma_std,logit_alpha,log_c0,log_cr,log_k1,log_k2,log_r1,log_r2,log_I_plasma,alpha_stnd,c0_stnd,cr_stnd,k1_stnd,k2_stnd,r1_stnd,r2_stnd,I_plasma_stnd
10,E-510,E,1,E-510-1,1,0.7145566372099009,136.23274603439322,10.541848618014988,0.7651802965459397,0.12050475623780903,0.4935179932473115,0.0476287379729556,0.0195574945399383,5.489134437710167,2.886087486697249,0.07757505789297911,0.009001536657320128,0.0505865526477075,0.0028623587756038,41.93678861788618,1.085025587623076,0.9176186321442954,4.914364790914556,2.3553529184375743,-0.26764379116478587,-2.116066055977194,-0.7061959602923936,-3.0443189609941492,3.736163451676224,1.036310800072412,0.0441583952253787,0.22009127245635488,-0.15414220341514062,-0.4220501762833979,0.1439157894770423,-0.019320788432323356,1.0277014337330241
11,E-510,E,1,E-510-2,1,0.692651277173875,181.6134764616241,9.74193542037706,0.7492677028906488,0.09084979057249429,0.2513706280047825,0.0207419949645566,0.0085611625769986,2.070484918614388,0.7702113180445886,0.04019119254166328,0.004780869477381491,0.0107305459499624,0.0008817974009525,19.784454299088445,0.6662615913542173,0.8125436570908267,5.201880673004238,2.276439806372137,-0.2886589455828089,-2.3985477893435574,-1.3808268233636622,-3.8755948915801914,2.9848964929097996,0.8046871850498033,0.8869365730277667,0.12042559472024163,-0.2045352596646782,-0.7501738548793402,-1.032968443726636,-0.9513511080586229,-0.46675970704200065
12,E-510,E,1,E-510-3,1,0.6256183855552748,85.63645554032132,2.982732237314805,0.8300352597308297,0.13744315407761526,0.6203285075480292,0.0525400996476684,0.0221547604015942,4.221095587583191,0.9697738407955766,0.08587502292190008,0.011297453825798585,0.0671719783726515,0.0022444538284316,21.864700854700857,0.8882637430351454,0.51346494079506,4.450111074965882,1.0928397386189375,-0.18628709749040193,-1.9845448722492134,-0.47750609038049735,-2.9461785981207482,3.084873503303231,0.09589259520586103,-0.8954794004802418,-0.7217414906400846,0.05124479248487598,-0.2346316686565473,0.7602400461357414,0.1509318148693474,-0.32642020169444114
13,E-510,E,1,E-510-4,1,0.6322963652616566,94.29325484880997,3.372752547776143,0.43890876709643106,0.07942567358192508,0.4735374800479818,0.0265049039132478,0.0145990056703333,3.5012259105547985,0.5816941954948445,0.03398555609200863,0.006940027392441293,0.0381811354005919,0.0014772941260725,20.84188034188034,0.7098896388742145,0.5420809432852557,4.546409658436471,1.2157291907367391,-0.8234637073303954,-2.532933618133213,-0.7475242141602547,-3.6304255097801104,3.0369644403523512,0.16650443623910116,-0.7347115706519413,-0.6731466697423135,-1.1874005076454461,-0.876578428533605,0.04680653151729828,-0.7515795750117217,-0.39542265933163717
14,E-510,E,1,E-510-5,1,0.5510908531197232,136.04331889545406,13.96210489647246,1.309191170662815,0.17817299115029778,0.341687882230646,0.0290967032954218,0.0151677038114999,2.753786053257963,1.349617258844472,0.12170526363291201,0.013559188641706937,0.0320712075571055,0.0014921346521765,14.759415444348576,0.5434535932405091,0.20507916146560942,4.912973356309019,2.636346866517585,0.26940951955158104,-1.7250003402456788,-1.0738575836719135,-3.5371304000394734,2.6918812143466413,-0.6921490737302921,0.040640491095619194,0.6462402109039944,1.5686674889329495,0.2160322815139757,-0.5940086707049201,-0.6617347170525307,-0.8057634973974426
16,S-512,S,1,S-512-1,1,0.743038307398432,242.23624923898376,39.17512520825981,0.9420546299872382,0.21592461381638867,0.4609605508654897,0.060600147836595,0.0186052151319047,8.896309578425921,3.2389033733956483,0.08413726631111734,0.02127519260482107,0.0448307934978203,0.0050701311755717,53.92,1.26293980052169,1.0618205833652516,5.48991348647244,3.668041984363583,-0.05969201247031308,-1.5328259423254864,-0.7744428126069554,-2.8034579463620717,3.987501466604052,1.337471219262037,2.0127789623775363,3.7876720119656087,0.4059951586825347,0.6337431445770244,-0.014319839369162748,0.4303337970053741,1.8361238552502714
17,S-512,S,1,S-512-1,2,0.5820359030649963,197.84167243919777,17.503745229244842,1.2045333947762533,0.2549113506116865,0.9207109176867936,0.0816795882308578,0.041706078248676,15.585327592470332,5.871483923756979,0.20638806187632083,0.023209939881634983,0.1685451433055677,0.0031599908048579,53.49205128205128,0.9147360517863616,0.33113659860806344,5.287467076671152,2.8624148711316373,0.18609226769987625,-1.3668394389261773,-0.0826091707301931,-2.504951146386502,3.97953306869646,-0.3649412888049874,1.1883149181147994,1.0875130703912872,1.237230307700749,1.0651201907722703,2.2201581504271513,1.1610536749047156,1.8072531854592258
18,S-512,S,1,S-512-1,3,0.7481624319477941,199.28380770449385,17.858059735758406,0.6287689238972568,0.1548109463777729,0.3550518381965588,0.0429738495803482,0.013523610908131,6.032367104517752,2.3200757624795103,0.03900166046276518,0.009767289190784236,0.0238094904503486,0.0021738868422484,44.236790780141845,0.8133533519901087,1.0888358009454826,5.294729978080164,2.882454932131339,-0.46399146037140065,-1.8655506072918504,-1.0354914770781567,-3.1471634975805927,3.7895568134468096,1.3916528556285424,1.2150972135866567,1.1316591046456124,-0.5861387794526414,-0.04246203464198291,-0.5290571935176365,-0.1806827323104401,1.1828662938206078
19,S-513,S,1,S-513-1,1,0.7420172024013089,92.54061962311316,10.427930991149852,0.814075197664677,0.19559268387799034,0.4309513947073626,0.043001078845832,0.0145968150784626,3.164493195515106,1.123783097819474,0.06181743682245916,0.013359132534983668,0.0342391087654018,0.0025662382489461,18.94195895522388,0.5571698021139887,1.0564795200032864,4.5276476791892355,2.344487878399747,-0.20570253682296924,-1.631720925567705,-0.841759968538559,-3.146530074165356,2.9413795119355437,1.3266742257242754,-0.767260247325041,0.2058976355453377,0.0007014101256884906,0.40877617885413814,-0.16017029162939647,-0.17973882843170974,-0.5235969023718435
20,S-513,S,1,S-513-2,1,0.6731334435989083,101.17588272403178,7.7922157174146705,0.5572882053957843,0.04039900081102488,0.2509012677441197,0.0188137132283463,0.011739434900532,1.31458281600007,0.6187830376078458,0.03760462695550691,0.003749598690032652,0.0142950054360665,0.0011048179481242,16.154761904761905,0.5434063920978688,0.7223915885036853,4.61686041544867,2.053125250430161,-0.5846727484637556,-3.208950226721258,-1.3826957728360783,-3.9731692480091434,2.7822148609915556,0.598308875694994,-0.6068923724027493,-0.12250093301427946,-0.8125086564339704,-1.3083973548298382,-1.0352496277069496,-1.0181950929313246,-0.7116293518488993
