lectin,mouse,vessel_type,contour_in_vessel_type,ln_y_norm_mean,ln_y_norm_mean_std,size
lea,M4,bp_v,8,-0.5814537702717573,0.027248279482932805,166
lea,M4,bp_v,9,-0.584139282475003,0.023388803946705373,84
lea,M4,bp_v,10,-0.8103664125020589,-0.30173281453452866,343
lea,M4,bp_v,11,-0.6918550534689902,-0.13141458235506465,50
lea,M4,bp_v,12,-0.5539238015864819,0.06681288861988273,147
lea,M4,bp_v,13,-0.6044109213368668,-0.005744518989619759,137
lea,M4,bp_v,14,-0.7334432873686975,-0.1911829837560454,93
lea,M4,bp_v,15,-1.0588506838389395,-0.6588412146389497,194
lea,M4,pa,0,0.22842264287120373,1.191159655538163,43
lea,M4,pa,1,0.03319428947258735,0.9105878327740525,66
lea,M4,pa,2,-0.09166182184122397,0.7311512595267826,95
lea,M4,pa,3,-0.5167337224140309,0.12026049559145341,425
lea,M4,pa,4,-0.4071264138105131,0.2777822993038813,155
lea,M4,pa,5,0.09754974736111789,1.0030760795387865,121
lea,M4,pa,6,0.032736900691212434,0.9099304979050736,46
lea,M4,pa,7,-0.16927156980320401,0.6196146508790846,121
lea,M4,pa,8,-0.09812353510847911,0.7218648283398581,58
lea,M4,pa,9,-0.04582808416442497,0.7970210735174522,164
lea,M4,pea,0,-0.3465407444414166,0.36485280618647237,45
lea,M4,pea,1,-0.1342450299920828,0.6699529339657646,27
lea,M4,pea,2,-0.08631464862711614,0.738835932932056,617
lea,M4,pv,0,-0.20884238440492314,0.5627455773670211,219
lea,M4,pv,1,-0.827052844438302,-0.32571366845394795,195
lea,M4,pv,2,-0.7200826344961927,-0.1719817629062066,109
lea,M4,pv,3,-0.49951580968966486,0.14500516547762066,460
lea,M4,pv,4,-0.6846493613029702,-0.12105894420055235,780
lea,M4,pv,5,-0.740323231831093,-0.20107047460830324,116
lea,M4,pv,6,-0.8161132751874787,-0.3099919004242256,725
lea,M4,pv,7,-0.5257606938738587,0.10728741154688227,464
lea,M4,pv,8,-0.9105735262175705,-0.4457451573097909,447
lea,M4,pv,9,-0.43468758662661666,0.2381728452470628,195
lea,M4,pv,10,-0.33587733034195,0.38017769869666584,51
lea,M4,pv,11,-0.5219429922416955,0.11277400961042536,355
lea,M4,pv,12,-0.2052930046841604,0.5678465574275507,29
lea,M4,pv,13,-0.4975893859242213,0.14777371941908124,106
lea,M4,pv,14,-0.30156335343571483,0.42949192421395294,28
lea,M4,pv,15,-0.5722052078989738,0.04053982222099607,29
lea,M4,pv,16,-0.4522894004907839,0.2128764530281496,117
lea,M4,pv,17,-0.5551210092514234,0.06509232533625994,238
lea,M4,pv,18,-0.6418593946055069,-0.05956347623535495,60
lea,M4,pv,19,-1.0694405407516183,-0.6740603946662216,270
lea,M4,pv,20,-0.5453254586634433,0.07916997049180786,134
lea,M4,pv,21,-0.8804692448244228,-0.40248088264660564,196
lea,M4,pv,22,-0.6150284614722354,-0.021003483874546112,22
lea,M4,pv,23,-1.0725755613091292,-0.678565879740041,69
lea,M4,pv,24,-1.0447415125289614,-0.6385642628375434,126
lea,M4,pv,25,-0.7984653837392335,-0.2846292879482224,120
lea,M4,pv,26,-0.8766774719430038,-0.3970315480068003,197
lea,M4,pv,27,-1.0610181022876326,-0.661956113342217,73
lea,M4,pv,28,-0.7181665063692819,-0.16922800530974086,69
lea,M4,pv,29,-0.7862186136218413,-0.267028880246202,388
lea,M4,pv,30,-0.39734729609653424,0.29183632800550996,225
lea,M4,pv,31,-0.2866417363815765,0.45093647989751945,28
lea,M4,pv,32,-0.7991996524159463,-0.28568453990029546,106
lea,M4,pv,33,-0.5114655857044613,0.12783158192928934,642
lea,M4,pv,34,-0.9763561734421794,-0.5402844848037439,87
lea,M4,pv,35,-1.1382005518095888,-0.7728786313617112,332
lea,M4,pv,36,-1.005310297450907,-0.581895814348074,39
lea,M4,pv,37,-0.5086267283415127,0.1319114369863236,399
wga,20230216,av,0,-1.8367083613472408,-1.7767369640537396,86
wga,20230216,av,1,-1.9304602640558741,-1.911472220345417,143
wga,20230216,av,2,-1.7770056456373393,-1.690935391284785,190
wga,20230216,av,3,-1.615337757955962,-1.4585948877690238,71
wga,20230216,av,4,-2.0386434131782423,-2.0669472976752425,415
wga,20230216,av,5,-1.9000768524185276,-1.8678067945172494,620
wga,20230216,av,6,-1.8371364168031923,-1.7773521426250365,106
wga,20230216,av,7,-1.7821895948472353,-1.6983854878184956,129
wga,20230216,av,8,-1.7718330283522037,-1.683501580391608,186
wga,20230216,av,9,-1.9582597547856397,-1.9514241722529293,247
wga,20230216,av,10,-1.7543544904305803,-1.6583823538112938,79
wga,20230216,av,11,-1.5302677787091217,-1.3363368308613932,37
wga,20230216,av,12,-1.3817907539034828,-1.122953535028067,77
wga,20230216,av,13,-1.6185207189401927,-1.4631692702784598,346
wga,20230216,av,14,-1.5929767129839199,-1.4264587813198435,71
wga,20230216,av,15,-1.560699684934959,-1.380071950537049,617
wga,20230216,av,16,-1.6848387553633244,-1.5584780306990484,64
wga,20230216,av,17,-1.6336523662056108,-1.4849156702289499,24
wga,20230216,av,18,-1.8794041711673406,-1.8380971147545757,169
wga,20230216,av,19,-1.5391634332143702,-1.3491211931518505,1559
wga,20230216,av,20,-1.8105861122629359,-1.7391954547765656,147
wga,20230216,av,21,-1.747450191706376,-1.6484598623071902,122
wga,20230216,av,22,-1.5469773995053049,-1.3603510105789764,484
wga,20230216,av,23,-1.42803690001725,-1.1894160405252165,25
wga,20230216,av,24,-1.3945554670366491,-1.1412983029292791,28
wga,20230216,av,25,-1.3979380154614762,-1.14615952191013,277
wga,20230216,bp_a,0,-0.1727989339111021,0.6145453104883221,819
wga,20230216,bp_a,1,0.1637501192996368,1.098215738810143,39
wga,20230216,bp_a,2,0.8005977794264737,2.013459378959144,450
wga,20230216,bp_v,0,-1.9401283670780585,-1.925366704626944,31
wga,20230216,bp_v,1,-1.6668313423706744,-1.5325987329502322,60
wga,20230216,bp_v,2,-1.563473736583053,-1.3840586702619158,774
wga,20230216,bp_v,3,-1.8928619888810005,-1.8574379757546124,170
wga,20230216,bp_v,4,-1.5683548028560437,-1.391073479521968,791
wga,20230216,bp_v,5,-1.4046990486208561,-1.1558761197519538,171
wga,20230216,bp_v,6,-1.4637617424106388,-1.240757887002854,23
wga,20230216,bp_v,7,-1.33235370546066,-1.0519052341423887,41
wga,20230216,bp_v,8,-1.222531501763363,-0.894074594612237,68
wga,20230216,bp_v,9,-1.2380443585176852,-0.9163688485977322,247
wga,20230216,pa,0,0.029472541779169394,0.9052391346160634,756
wga,20230216,pa,1,-0.1927809464482031,0.5858282231266179,28
wga,20230216,pa,2,-0.24862140253120157,0.5055772848051907,17
wga,20230216,pa,3,-0.31119304882870463,0.41565263733763663,49
wga,20230216,pa,4,-0.15874064170076843,0.6347491415494295,217
wga,20230216,pa,5,0.1169317844927092,1.0309309141067393,51
wga,20230216,pa,6,-0.03667228972151055,0.8101792951127392,456
wga,20230216,pa,7,0.11078866121274882,1.022102343532239,424
wga,20230216,pea,0,-0.15988846066882978,0.6330995570783939,227
wga,20230216,pea,1,-0.26937946637116256,0.47574489771979667,78
wga,20230216,pea,2,-0.049722634289561175,0.7914240328805086,264
wga,20230216,pea,3,-0.14981718976691752,0.6475734528282143,68
wga,20230216,pv,0,-1.5898071977563009,-1.4219037223378321,45
wga,20230216,pv,1,-1.6173445969794298,-1.4614790102492192,117
wga,20230216,pv,2,-1.3369941821189208,-1.0585742807836016,1311
wga,20230216,pv,3,-1.7041449277748146,-1.586223836519733,244
wga,20230216,pv,4,-1.71373487456748,-1.6000059988183373,105
wga,20230216,pv,5,-1.7511726234832692,-1.6538095435936244,57
wga,20230216,pv,6,-1.5882082043802377,-1.4196057339652428,1604
wga,20230216,pv,7,-1.9471905630706827,-1.9355161177007831,212
wga,20230216,pv,8,-1.6686258830451124,-1.5351777515163691,95
wga,20230216,pv,9,-1.7853526337527414,-1.702931239374263,784
wga,20230216,pv,10,-1.311871592099614,-1.0224694284321585,212
wga,20230216,pv,11,-1.5274526989635444,-1.3322911477334396,359
wga,20230216,pv,12,-1.6153443713449178,-1.4586043921804561,102
wga,20230216,pv,13,-1.3572988235129824,-1.0877550332067474,268
wga,20230216,pv,14,-1.6347906099931606,-1.486551493759002,48
wga,20230216,pv,15,-1.796551924850183,-1.7190262658505622,77
